,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
216,73,0.30223581499999996,305.0,7485.0,100,0.1,190
217,74,0.3058234849999999,305.0,7586.0,100,0.1,190
218,75,0.30938942699999994,305.0,7687.0,100,0.1,190
219,76,0.3129558800000001,305.0,7788.0,100,0.1,190
220,77,0.316535075,305.0,7889.0,100,0.1,190
221,78,0.3203836980000001,305.0,7990.0,100,0.1,190
222,79,0.3242592959999999,305.0,8091.0,100,0.1,190
223,80,0.3279123129999999,305.0,8192.0,100,0.1,190
224,81,0.3356492470000001,305.0,8293.0,100,0.1,190
225,82,0.33933363800000005,305.0,8394.0,100,0.1,190
226,83,0.3430613229999999,305.0,8495.0,100,0.1,190
227,84,0.346656879,305.0,8596.0,100,0.1,190
228,85,0.35025632900000003,305.0,8697.0,100,0.1,190
229,86,0.35451936800000006,305.0,8798.0,100,0.1,190
230,87,0.358136177,305.0,8899.0,100,0.1,190
231,88,0.3616820300000001,305.0,9000.0,100,0.1,190
232,89,0.365408902,305.0,9101.0,100,0.1,190
233,90,0.3691060260000001,305.0,9202.0,100,0.1,190
234,91,0.3765864109999999,305.0,9303.0,100,0.1,190
235,92,0.380139628,305.0,9404.0,100,0.1,190
236,93,0.38364093200000005,305.0,9505.0,100,0.1,190
237,94,0.387750488,305.0,9606.0,100,0.1,190
238,95,0.39146379499999995,305.0,9707.0,100,0.1,190
239,96,0.39533829100000006,305.0,9808.0,100,0.1,190
240,97,0.39906802399999997,305.0,9909.0,100,0.1,190
241,98,0.40275042699999997,305.0,10010.0,100,0.1,190
242,99,0.406399167,305.0,10111.0,100,0.1,190
243,100,0.4100526790000001,305.0,10212.0,100,0.1,190
244,101,0.417461761,305.0,10313.0,100,0.1,190
245,102,0.42147305700000004,305.0,10414.0,100,0.1,190
246,103,0.4251593469999999,305.0,10515.0,100,0.1,190
247,104,0.42890749699999997,305.0,10616.0,100,0.1,190
248,105,0.4327399089999999,305.0,10717.0,100,0.1,190
249,106,0.4364515520000001,305.0,10818.0,100,0.1,190
250,107,0.44006894799999996,305.0,10919.0,100,0.1,190
251,108,0.44368345,305.0,11020.0,100,0.1,190
252,109,0.4474637160000001,305.0,11121.0,100,0.1,190
253,110,0.4512049710000001,305.0,11222.0,100,0.1,190
254,111,0.45942678800000003,305.0,11323.0,100,0.1,190
255,112,0.4635809809999998,305.0,11424.0,100,0.1,190
256,113,0.46751431499999985,305.0,11525.0,100,0.1,190
257,114,0.471158462,305.0,11626.0,100,0.1,190
258,115,0.474803874,305.0,11727.0,100,0.1,190
259,116,0.478462162,305.0,11828.0,100,0.1,190
260,117,0.4821207379999999,305.0,11929.0,100,0.1,190
261,118,0.4857927449999999,305.0,12030.0,100,0.1,190
262,119,0.4899383249999998,305.0,12131.0,100,0.1,190
263,0,0.0016030209999999823,0.0,200.0,200,0.1,190
264,1,0.010248041000000097,264.0,402.0,200,0.1,190
265,2,0.013832378999999895,265.0,604.0,200,0.1,190
266,3,0.017359697000000063,265.0,805.0,200,0.1,190
267,4,0.021534919999999902,265.0,1006.0,200,0.1,190
268,5,0.025307669999999893,271.0,1208.0,200,0.1,190
269,6,0.029310877999999985,271.0,1409.0,200,0.1,190
270,7,0.03319679800000008,283.0,1611.0,200,0.1,190
271,8,0.036816391999999976,295.0,1813.0,200,0.1,190
272,9,0.040465092000000036,295.0,2014.0,200,0.1,190
273,10,0.04411818700000003,296.0,2216.0,200,0.1,190
274,11,0.051136360999999964,297.0,2418.0,200,0.1,190
275,12,0.05545504499999998,303.0,2620.0,200,0.1,190
276,13,0.05915431399999993,303.0,2821.0,200,0.1,190
277,14,0.06281051800000004,303.0,3022.0,200,0.1,190
278,15,0.06666835199999999,305.0,3224.0,200,0.1,190
279,16,0.07028411600000006,305.0,3425.0,200,0.1,190
280,17,0.0738296169999999,305.0,3626.0,200,0.1,190
281,18,0.07741115099999996,305.0,3827.0,200,0.1,190
282,19,0.08098239299999999,305.0,4028.0,200,0.1,190
283,20,0.08453296199999993,305.0,4229.0,200,0.1,190
284,21,0.09217163900000003,305.0,4430.0,200,0.1,190
285,22,0.09583302900000001,305.0,4631.0,200,0.1,190
286,23,0.0997949170000001,305.0,4832.0,200,0.1,190
287,24,0.10339988399999989,305.0,5033.0,200,0.1,190
288,25,0.1069886069999999,305.0,5234.0,200,0.1,190
289,26,0.1105640699999999,305.0,5435.0,200,0.1,190
290,27,0.11412830799999996,305.0,5636.0,200,0.1,190
291,28,0.11768894200000002,305.0,5837.0,200,0.1,190
292,29,0.121717034,305.0,6038.0,200,0.1,190
293,30,0.1253011610000001,305.0,6239.0,200,0.1,190
294,31,0.1326283239999999,305.0,6440.0,200,0.1,190
295,32,0.13626790900000008,305.0,6641.0,200,0.1,190
296,33,0.13986423700000006,305.0,6842.0,200,0.1,190
297,34,0.14344691100000007,305.0,7043.0,200,0.1,190
298,35,0.14705026599999993,305.0,7244.0,200,0.1,190
299,36,0.15060685799999995,305.0,7445.0,200,0.1,190
300,37,0.1547109499999999,305.0,7646.0,200,0.1,190
301,38,0.158358239,305.0,7847.0,200,0.1,190
302,39,0.16205150999999995,305.0,8048.0,200,0.1,190
303,40,0.16584317399999993,305.0,8249.0,200,0.1,190
304,41,0.1729751690000001,305.0,8450.0,200,0.1,190
305,42,0.17657391899999997,305.0,8651.0,200,0.1,190
306,43,0.18025427699999996,305.0,8852.0,200,0.1,190
307,44,0.18377228200000006,305.0,9053.0,200,0.1,190
308,45,0.18801854399999995,305.0,9254.0,200,0.1,190
309,46,0.19168009100000005,305.0,9455.0,200,0.1,190
310,47,0.1953281,305.0,9656.0,200,0.1,190
311,48,0.1990800749999999,305.0,9857.0,200,0.1,190
312,49,0.20264137000000004,305.0,10058.0,200,0.1,190
313,50,0.20615322300000005,305.0,10259.0,200,0.1,190
314,51,0.2132560779999999,305.0,10460.0,200,0.1,190
315,52,0.21675574100000006,305.0,10661.0,200,0.1,190
316,53,0.22076156599999996,305.0,10862.0,200,0.1,190
317,54,0.224480848,305.0,11063.0,200,0.1,190
318,55,0.22811149899999994,305.0,11264.0,200,0.1,190
319,56,0.231956834,305.0,11465.0,200,0.1,190
320,57,0.23565292400000004,305.0,11666.0,200,0.1,190
321,58,0.23927458600000007,305.0,11867.0,200,0.1,190
322,59,0.24293697200000008,305.0,12068.0,200,0.1,190
323,60,0.24664798200000004,305.0,12269.0,200,0.1,190
324,61,0.254685767,305.0,12470.0,200,0.1,190
325,62,0.25832424099999995,305.0,12671.0,200,0.1,190
326,63,0.262080034,305.0,12872.0,200,0.1,190
327,64,0.2657841999999999,305.0,13073.0,200,0.1,190
328,65,0.2693866220000001,305.0,13274.0,200,0.1,190
329,66,0.27291605399999996,305.0,13475.0,200,0.1,190
330,67,0.27642622000000006,305.0,13676.0,200,0.1,190
331,68,0.280058626,305.0,13877.0,200,0.1,190
332,69,0.28365832699999993,305.0,14078.0,200,0.1,190
333,70,0.28746288099999995,305.0,14279.0,200,0.1,190
334,71,0.2947959419999999,305.0,14480.0,200,0.1,190
335,72,0.298572563,305.0,14681.0,200,0.1,190
336,73,0.30223581499999996,305.0,14882.0,200,0.1,190
337,74,0.3058234849999999,305.0,15083.0,200,0.1,190
338,75,0.30938942699999994,305.0,15284.0,200,0.1,190
